PH_ID	IRGSP_best_BLAST_hit	description
PH01001802G0050	Os08t0504900-00	protein kinase domain containing protein, expressed
PH01001802G0060	Os06t0646400-01	protein kinase domain containing protein, expressed
PH01001802G0120	Os02t0182800-01	homeobox protein knotted-1, putative, expressed
PH01001802G0210	Os02t0182700-01	expressed_protein
PH01001803G0140	Os10t0331600-00	expressed_protein
PH01001803G0200	Os05t0291700-02	PTAC16, putative, expressed
PH01001803G0230	Os05t0291700-01	PTAC16, putative, expressed
PH01001803G0260	Os05t0292200-01	transcription factor IIA large subunit, putative, expressed
PH01001804G0110	Os08t0409900-01	transporter, putative, expressed
PH01001804G0350	Os09t0370500-00	VQ domain containing protein, putative, expressed
PH01001805G0010	Os04t0683900-03	AT hook motif domain containing protein, expressed
PH01001805G0050	Os05t0186000-03	30S ribosomal protein S31, chloroplast precursor, putative, expressed
PH01001805G0360	Os04t0530100-01	30S ribosomal protein S31, chloroplast precursor, putative, expressed
PH01001805G0390	Os04t0107300-01	erythronate-4-phosphate dehydrogenase domain containing protein, expressed
PH01001805G0430	Os04t0106500-00	expressed_protein
PH01001805G0440	Os04t0106400-02	erythronate-4-phosphate dehydrogenase domain containing protein
PH01001805G0490	Os04t0106000-01	invertase/pectin methylesterase inhibitor family protein, putative, expressed
PH01001806G0020	Os10t0498900-01	ATEB1A-like microtubule associated protein, putative, expressed
PH01001806G0050	Os02t0144200-00	expressed_protein
PH01001806G0060	Os10t0498700-02	expressed_protein
PH01001806G0080	Os10t0498700-01	expressed_protein
PH01001806G0140	Os01t0263600-01	pre-mRNA-processing factor 6, putative, expressed
PH01001806G0150	Os10t0498500-00	hydrolase, alpha/beta fold family domain containing protein, expressed
PH01001806G0160	Os10t0498200-01	hydrolase, alpha/beta fold family domain containing protein, expressed
PH01001806G0200	Os10t0498200-01	hydrolase, alpha/beta fold family domain containing protein, expressed
PH01001806G0270	Os10t0498500-00	hydrolase, alpha/beta fold family domain containing protein, expressed
PH01001806G0280	Os10t0498000-01	hydrolase, alpha/beta fold family domain containing protein, expressed
PH01001806G0290	Os10t0497900-02	lanC-like protein 2, putative, expressed
PH01001806G0350	Os10t0497100-01	acyltransferase, putative, expressed
PH01001806G0360	Os10t0497000-01	expressed_protein
PH01001806G0480	Os10t0496900-01	oxidoreductase, short chain dehydrogenase/reductase family domain containing family, expressed
PH01001807G0140	not found	oxidoreductase, short chain dehydrogenase/reductase family domain containing family, expressed
PH01001807G0260	Os07t0456500-01	CRAL/TRIO domain containing protein, expressed
PH01001807G0330	Os07t0456400-02	RNA-binding protein Luc7-like, putative, expressed
PH01001807G0490	Os07t0455100-00	tetratricopeptide repeat domain containing protein, expressed
PH01001808G0030	Os03t0747600-02	PHD finger family protein, putative, expressed
PH01001808G0040	Os02t0149600-01	PHD finger family protein, putative, expressed
PH01001808G0050	Os03t0747600-02	PHD finger family protein, putative, expressed
PH01001808G0110	Os03t0748000-01	YT521-B-like family domain containing protein, expressed
PH01001808G0170	Os03t0748200-01	PHD-finger domain containing protein, putative, expressed
PH01001808G0240	Os02t0650500-01	protein kinase domain containing protein, expressed
PH01001808G0250	Os03t0748400-01	SRPK4, putative, expressed
PH01001808G0280	Os03t0748600-01	expressed_protein
PH01001808G0290	Os03t0748700-01	nuclear prelamin A recognition factor, putative, expressed
PH01001808G0330	Os01t0127900-01	mannose-6-phosphate isomerase, putative, expressed
PH01001808G0340	Os03t0160400-01	mannose-6-phosphate isomerase, putative, expressed
PH01001809G0300	Os10t0413500-01	oxidoreductase, putative, expressed
PH01001809G0320	Os10t0413400-00	glycerol-3-phosphate acyltransferase, putative, expressed
PH01001810G0160	Os07t0162500-02	gibberellin receptor GID1L2, putative, expressed
PH01001810G0170	Os07t0162400-01	gibberellin receptor GID1L2, putative, expressed
PH01001810G0250	Os07t0162100-00	3-oxo-5-alpha-steroid 4-dehydrogenase, putative, expressed
PH01001810G0360	Os07t0161000-01	tetratricopeptide repeat, putative, expressed
PH01001810G0430	Os07t0160600-01	fasciclin domain containing protein, expressed
PH01001810G0440	Os11t0484300-01	fasciclin domain containing protein, expressed
PH01001811G0040	Os03t0261800-01	expressed_protein
PH01001811G0050	Os03t0261900-01	HEAT repeat family protein, putative, expressed
PH01001811G0060	Os07t0575100-00	HEAT repeat family protein, putative, expressed
PH01001811G0140	Os03t0262000-01	phosphatidylinositol-4-phosphate 5-kinase, putative, expressed
PH01001811G0180	Os06t0659400-01	phosphatidylinositol-4-phosphate 5-kinase, putative, expressed
PH01001811G0230	Os03t0262100-01	wibg, putative, expressed
PH01001811G0310	Os03t0262200-00	STE_MEKK_ste11_MAP3K.12 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01001811G0360	Os03t0262300-01	AT hook motif family protein, expressed
PH01001811G0380	Os03t0262300-01	AT hook motif family protein, expressed
PH01001812G0070	Os03t0784700-02	ferredoxin--NADP reductase, chloroplast precursor, putative, expressed
PH01001812G0090	Os07t0150200-01	ribosomal protein L7Ae, putative, expressed
PH01001812G0170	Os03t0785500-01	cell cycle control protein, putative, expressed
PH01001812G0230	Os03t0785800-01	TCP family transcription factor, putative, expressed
PH01001812G0240	Os09t0367700-01	glutathione S-transferase, putative, expressed
PH01001812G0250	Os05t0524500-01	glutathione S-transferase, putative, expressed
PH01001812G0260	Os07t0468100-02	glutathione S-transferase, putative, expressed
PH01001813G0270	Os02t0227400-01	expressed_protein
PH01001814G0040	Os06t0644500-02	palmitoyltransferase TIP1, putative, expressed
PH01001814G0050	Os06t0644600-01	WD repeat-containing protein, putative, expressed
PH01001814G0060	Os06t0644700-01	transmembrane amino acid transporter protein, putative, expressed
PH01001814G0070	Os06t0644800-01	glucosidase II beta subunit-like domain containing protein, expressed
PH01001814G0110	Os06t0645400-01	tRNA synthetase class I, putative, expressed
PH01001814G0130	Os06t0645400-02	tRNA synthetase class I, putative, expressed
PH01001814G0190	Os06t0645500-01	expressed_protein
PH01001814G0310	Os06t0645800-01	transcription initiation factor TFIID subunit 1, putative, expressed
PH01001814G0430	Os06t0646000-02	methyltransferase domain containing protein, putative, expressed
PH01001815G0110	Os12t0438400-01	expressed_protein
PH01001815G0200	Os08t0374200-02	expressed_protein
PH01001816G0010	Os05t0294600-01	PPR repeat domain containing protein, putative, expressed
PH01001816G0040	Os05t0295100-02	digestive organ expansion factor, putative, expressed
PH01001816G0060	Os05t0295100-01	digestive organ expansion factor, putative, expressed
PH01001816G0080	Os05t0295100-01	digestive organ expansion factor, putative, expressed
PH01001816G0250	Os01t0510200-01	expressed_protein
PH01001816G0270	Os01t0714100-01	expressed_protein
PH01001817G0090	Os08t0327100-01	glycosyl transferase 8 domain containing protein, putative, expressed
PH01001817G0120	Os08t0326700-00	OsSub55 - Putative Subtilisin homologue, expressed
PH01001817G0130	Os08t0326600-01	class I glutamine amidotransferase, putative, expressed
PH01001817G0240	Os08t0326500-01	glucan endo-1,3-beta-glucosidase precursor, putative, expressed
PH01001817G0260	Os08t0326500-01	glucan endo-1,3-beta-glucosidase precursor, putative, expressed
PH01001817G0340	Os08t0326100-01	FHA domain containing protein, putative, expressed
PH01001818G0080	Os07t0655400-01	OsRhmbd13 - Putative Rhomboid homologue, expressed
PH01001818G0160	Os07t0655500-01	PWWP domain containing protein, expressed
PH01001818G0190	Os07t0655500-01	PWWP domain containing protein, expressed
PH01001818G0260	Os07t0655900-01	SNARE associated Golgi protein, putative, expressed
PH01001818G0280	Os04t0537800-01	cysteine-rich repeat secretory protein precursor, putative, expressed
PH01001818G0300	Os07t0656100-01	choline transporter-related, putative, expressed
PH01001818G0340	Os03t0323200-02	magnesium-chelatase, putative, expressed
PH01001818G0370	Os01t0932500-01	magnesium-chelatase, putative, expressed
PH01001818G0400	Os07t0656800-01	methyltransferase, putative, expressed
PH01001819G0250	Os05t0468600-00	low photochemical bleaching 1 protein, putative, expressed
PH01001819G0290	Os08t0266700-01	low photochemical bleaching 1 protein, putative, expressed
PH01001819G0320	Os09t0306700-01	PFT1, putative, expressed
PH01001819G0370	Os09t0306800-01	ZOS9-03 - C2H2 zinc finger protein, expressed
PH01001820G0290	Os02t0494700-00	hhH-GPD superfamily base excision DNA repair protein, expressed
PH01001820G0320	Os05t0445900-01	hhH-GPD superfamily base excision DNA repair protein, expressed
PH01001821G0040	Os01t0232800-01	abscisic acid insensitive 8, putative, expressed
PH01001821G0090	Os01t0232500-01	ubiquitin-conjugating enzyme E2, putative, expressed
PH01001821G0100	Os01t0232400-02	expressed_protein
PH01001821G0140	Os01t0232300-01	metallo-beta-lactamase family protein, putative, expressed
PH01001821G0300	Os01t0232000-00	aquaporin protein, putative, expressed
PH01001821G0330	Os01t0231900-01	expressed_protein
PH01001821G0350	Os01t0231500-01	CK1_CaseinKinase_1.1 - CK1 includes the casein kinase 1 kinases, expressed
PH01001822G0070	Os11t0544100-00	expressed_protein
PH01001822G0090	Os11t0544000-01	expressed_protein
PH01001822G0100	Os10t0477800-01	exportin 1, putative
PH01001822G0200	Os11t0543500-01	heparan-alpha-glucosaminide N-acetyltransferase, putative, expressed
PH01001824G0090	Os12t0230600-01	expressed_protein
PH01001824G0240	Os12t0230200-02	CAMK_CAMK_like.46 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001824G0310	Os12t0230133-01	expressed_protein
PH01001824G0340	Os12t0230100-01	ATP-dependent Clp protease ATP-binding subunit clpA homolog,chloroplast precursor, putative, expressed
PH01001825G0180	Os01t0125800-01	zinc ion binding protein, putative, expressed
PH01001826G0050	Os06t0286351-01	expressed_protein
PH01001826G0110	Os06t0286500-01	NBS-LRR disease resistance protein, putative, expressed
PH01001826G0250	Os06t0286500-01	NBS-LRR disease resistance protein, putative, expressed
PH01001827G0140	Os07t0667400-01	expressed_protein
PH01001827G0190	Os03t0350100-01	nucleolar protein NOP5-1, putative
PH01001827G0220	Os09t0442400-01	GEX1, putative, expressed
PH01001827G0280	Os07t0668300-01	GDSL-like lipase/acylhydrolase, putative, expressed
PH01001827G0470	Os07t0668900-02	protein kinase APK1B, chloroplast precursor, putative, expressed
PH01001828G0010	Os05t0338900-00	peptide transporter PTR2, putative, expressed
PH01001828G0040	Os05t0338933-00	peptide transporter PTR2, putative, expressed
PH01001828G0100	Os03t0687000-02	peptide transporter PTR2, putative, expressed
PH01001829G0120	Os08t0384500-01	pleiotropic drug resistance protein, putative, expressed
PH01001829G0260	Os01t0177200-01	ubiquitin carboxyl-terminal hydrolase 14, putative, expressed
PH01001829G0270	Os01t0177100-01	transcriptional corepressor LEUNIG, putative, expressed
PH01001829G0290	Os01t0177100-02	transcriptional corepressor LEUNIG, putative, expressed
PH01001830G0080	Os08t0467500-02	HVA22, putative, expressed
PH01001830G0370	Os08t0468400-01	kinetochore protein, putative, expressed
PH01001831G0040	Os03t0411000-01	expressed_protein
PH01001831G0240	Os03t0410700-01	expressed_protein
PH01001831G0340	Os03t0410300-02	EARLY flowering protein, putative, expressed
PH01001832G0020	Os09t0546900-01	OsSAUR53 - Auxin-responsive SAUR gene family member, expressed
PH01001832G0040	Os09t0547200-02	DUF292 domain containing protein, expressed
PH01001832G0110	Os02t0545000-01	myosin, putative, expressed
PH01001832G0130	Os02t0816900-01	myosin, putative, expressed
PH01001832G0160	Os03t0747900-00	myosin, putative, expressed
PH01001832G0290	Os09t0547300-02	DUF630/DUF632 domains containing protein, putative, expressed
PH01001833G0070	Os08t0336500-00	EDM2, putative, expressed
PH01001834G0080	Os12t0609500-01	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed
PH01001834G0140	Os04t0586600-01	oxidoreductase, short chain dehydrogenase/reductase family domain containing protein, expressed
PH01001834G0170	Os02t0178500-01	CYPRO4, putative, expressed
PH01001834G0180	Os06t0653900-01	protein transport protein SEC61 subunit gamma, putative, expressed
PH01001834G0210	Os02t0178100-01	CCT/B-box zinc finger protein, putative, expressed
PH01001834G0270	Os02t0177800-01	calmodulin binding protein, putative, expressed
PH01001834G0290	Os02t0177600-01	AMP-binding domain containing protein, expressed
PH01001834G0310	Os06t0144800-01	AMP-binding domain containing protein, expressed
PH01001835G0290	Os07t0170100-02	transketolase, putative, expressed
PH01001835G0300	Os07t0170200-00	HNH endonuclease domain-containing protein, putative, expressed
PH01001835G0310	Os07t0170300-01	YT521-B, putative, expressed
PH01001836G0010	Os06t0183200-00	YT521-B, putative, expressed
PH01001836G0130	Os10t0564800-01	calcineurin B, putative, expressed
PH01001836G0160	Os09t0422600-01	calcineurin B, putative, expressed
PH01001837G0100	Os05t0503300-03	ferredoxin--nitrite reductase, putative, expressed
PH01001837G0170	Os05t0503000-01	secretory carrier-associated membrane protein, putative, expressed
PH01001837G0230	Os05t0502800-01	NAF1 domain containing protein, expressed
PH01001837G0240	Os05t0502000-01	cyclic nucleotide-gated ion channel 2, putative, expressed
PH01001837G0330	Os05t0501700-01	universal stress protein domain containing protein, putative, expressed
PH01001837G0340	Os05t0501600-01	leucine rich repeat domain containing protein, putative, expressed
PH01001837G0370	Os05t0501400-01	serine/threonine-protein kinase receptor precursor, putative, expressed
PH01001837G0380	Os05t0501300-01	NADPH-dependent FMN reductase domain containing protein, expressed
PH01001838G0100	Os08t0369300-00	actin, putative, expressed
PH01001838G0110	Os03t0836000-01	actin, putative, expressed
PH01001838G0200	Os11t0502700-01	expressed_protein
PH01001838G0410	Os10t0558200-00	flavonol synthase/flavanone 3-hydroxylase, putative, expressed
PH01001840G0090	Os02t0294600-01	WD repeat-containing protein, putative, expressed
PH01001840G0160	Os02t0294600-01	WD repeat-containing protein, putative, expressed
PH01001840G0190	Os12t0512700-01	pleiotropic drug resistance protein 15, putative, expressed
PH01001840G0210	Os02t0295700-01	expressed_protein
PH01001841G0070	Os08t0360000-01	expressed_protein
PH01001842G0020	Os07t0516900-01	RNA recognition motif containing protein, putative
PH01001842G0060	Os07t0516600-01	MATE efflux family protein, putative, expressed
PH01001842G0260	Os07t0516200-01	endoribonuclease, putative, expressed
PH01001842G0300	Os07t0516000-01	BNR/Asp-box repeat family protein, putative, expressed
PH01001842G0320	Os07t0516000-01	BNR/Asp-box repeat family protein, putative, expressed
PH01001842G0440	Os07t0515100-02	CAMK_CAMK_like.33 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001843G0020	Os07t0227400-01	KH domain containing protein, putative, expressed
PH01001843G0200	Os06t0189600-05	KH domain containing protein, putative, expressed
PH01001843G0210	Os07t0225300-01	NAC domain-containing protein 67, putative, expressed
PH01001843G0240	Os07t0225100-01	tryptophan/tyrosine permease family protein, putative, expressed
PH01001843G0290	Os07t0224900-02	WD domain, G-beta repeat domain containing protein, expressed
PH01001844G0160	Os03t0195200-01	RNase L inhibitor protein-related, putative, expressed
PH01001844G0250	Os03t0195300-01	sulfate transporter, putative, expressed
PH01001844G0350	Os03t0195800-01	sulfate transporter, putative, expressed
PH01001844G0380	Os03t0195800-01	sulfate transporter, putative, expressed
PH01001844G0390	Os06t0690900-00	PPR repeat domain containing protein, putative
PH01001844G0410	Os03t0196250-00	expressed_protein
PH01001845G0060	Os10t0539500-01	Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed
PH01001845G0130	Os09t0553300-01	hydrolase, NUDIX family protein, expressed
PH01001845G0140	Os09t0553600-01	nicotinate-nucleotide pyrophosphorylase, putative, expressed
PH01001845G0150	Os09t0553700-01	expressed_protein
PH01001845G0170	Os06t0635200-01	expressed_protein
PH01001845G0220	Os09t0554200-01	RING-H2 finger protein, putative, expressed
PH01001845G0340	Os04t0498600-01	CPuORF7 - conserved peptide uORF-containing transcript, expressed
PH01001845G0470	Os09t0555300-00	OsFBK20 - F-box domain and kelch repeat containing protein, expressed
PH01001845G0480	Os09t0555400-01	pentatricopeptide, putative, expressed
PH01001846G0020	Os02t0226000-01	Mpv17 / PMP22 family domain containing protein, expressed
PH01001846G0070	Os02t0226200-01	phosphoethanolamine/phosphocholine phosphatase, putative, expressed
PH01001846G0090	Os02t0226600-01	homeobox domain containing protein, expressed
PH01001846G0250	Os02t0226900-01	expressed_protein
PH01001846G0370	Os05t0207900-01	ulp1 protease family protein, putative, expressed
PH01001847G0020	Os08t0110400-01	DNA binding protein, putative, expressed
PH01001847G0210	Os11t0546300-01	phospholipase, patatin family, putative, expressed
PH01001848G0050	Os06t0725900-01	OsFtsH1 FtsH protease, homologue of AtFtsH1/5, expressed
PH01001848G0150	Os05t0122900-01	hypothetical_protein
PH01001848G0230	Os06t0725300-01	expansin precursor, putative, expressed
PH01001849G0230	Os12t0407500-01	PTEN, putative, expressed
PH01001849G0270	Os04t0212200-01	expressed_protein
PH01001851G0060	Os12t0285600-01	oxysterol-binding protein, putative, expressed
PH01001851G0160	Os12t0286600-01	OsPOP23 - Putative Prolyl Oligopeptidase homologue, expressed
PH01001851G0170	Os12t0286600-01	OsPOP23 - Putative Prolyl Oligopeptidase homologue, expressed
PH01001852G0020	Os03t0180800-01	ZIM domain containing protein, putative, expressed
PH01001852G0090	Os10t0392700-02	initiation factor 2 subunit family domain containing protein, expressed
PH01001852G0110	Os03t0180700-01	glycosyl transferase, group 1 domain containing protein, expressed
PH01001852G0130	Os08t0198800-01	expressed_protein
PH01001852G0140	Os03t0180700-01	glycosyl transferase, group 1 domain containing protein, expressed
PH01001852G0160	Os03t0180400-01	peptidase, T1 family, putative, expressed
PH01001852G0170	Os03t0180300-02	ataxin-2 C-terminal region family protein, expressed
PH01001852G0180	Os03t0180100-01	ataxin-2 C-terminal region family protein, expressed
PH01001852G0210	Os03t0180000-00	sodium/calcium exchanger protein, putative, expressed
PH01001852G0260	Os03t0179900-01	lipoxygenase protein, putative, expressed
PH01001852G0360	Os01t0938600-01	protein kinase APK1B, chloroplast precursor, putative, expressed
PH01001852G0400	Os03t0179000-01	tubulin--tyrosine ligase-like protein 12, putative, expressed
PH01001852G0460	Os03t0178400-01	hydrolase, alpha/beta fold family protein, putative, expressed
PH01001852G0470	Os03t0178200-02	YGGT family protein, putative, expressed
PH01001852G0480	Os03t0178100-00	copper-transporting ATPase PAA1, putative, expressed
PH01001853G0030	Os02t0576900-00	expressed_protein
PH01001853G0280	Os04t0603400-01	expressed_protein
PH01001853G0340	Os06t0659100-00	OsSPL10 - SBP-box gene family member, expressed
PH01001855G0020	Os02t0461900-02	wiskott-Aldrich syndrome protein family member 2, putative, expressed
PH01001855G0080	Os04t0658100-01	expressed_protein
PH01001855G0140	Os10t0478900-01	expressed_protein
PH01001855G0240	Os02t0462900-01	expressed_protein
PH01001855G0460	Os02t0464900-00	ATP binding, related, putative, expressed
PH01001857G0050	Os10t0575800-01	expressed_protein
PH01001857G0080	Os10t0575600-01	homeobox and START domains containing protein, putative, expressed
PH01001857G0130	Os07t0569100-01	remorin, putative, expressed
PH01001857G0140	Os02t0764700-01	remorin, putative, expressed
PH01001857G0210	Os10t0575200-01	heat shock protein DnaJ, putative, expressed
PH01001857G0220	Os10t0575200-01	heat shock protein DnaJ, putative, expressed
PH01001857G0270	Os10t0575000-01	transcription factor MYC7E, putative, expressed
PH01001857G0300	Os10t0574800-01	GTPase-activating protein, putative, expressed
PH01001857G0310	Os02t0795000-01	ubiquitin carboxyl-terminal hydrolase domain containing protein, expressed
PH01001857G0360	Os10t0574700-01	zinc-binding protein, putative, expressed
PH01001857G0400	Os10t0574500-00	expressed_protein
PH01001858G0100	Os07t0178600-01	heat stress transcription factor, putative, expressed
PH01001858G0120	Os07t0178600-01	heat stress transcription factor, putative, expressed
PH01001858G0220	Os07t0177300-01	transmembrane BAX inhibitor motif-containing protein, putative, expressed
PH01001858G0260	Os07t0177100-01	expressed_protein
PH01001858G0360	Os07t0176900-01	ribose-5-phosphate isomerase A, putative, expressed
PH01001858G0410	Os07t0176600-01	expressed_protein
PH01001859G0010	Os03t0738600-01	lipoxygenase, putative, expressed
PH01001859G0270	Os03t0738900-00	BTBN9 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed
PH01001859G0290	Os03t0739700-01	uncharacterized UPF0114 domain containing protein, expressed
PH01001860G0200	Os10t0343100-01	syntaxin 6, N-terminal domain containing protein, expressed
PH01001860G0210	Os03t0808600-01	CAMK_CAMK_like.24 - CAMK includes calcium/calmodulin depedent protein kinases, expressed
PH01001860G0270	Os02t0525900-02	AMP-binding enzyme, putative, expressed
PH01001860G0300	Os10t0344900-01	MATE efflux family protein, putative, expressed
PH01001863G0010	Os08t0276100-01	expressed_protein
PH01001863G0110	Os08t0276400-01	BRASSINOSTEROID INSENSITIVE 1 precursor, putative, expressed
PH01001863G0240	Os08t0278100-01	expressed_protein
PH01001863G0260	Os08t0278100-01	expressed_protein
PH01001864G0070	Os05t0361700-01	AP2 domain containing protein, expressed
PH01001865G0040	Os07t0681100-03	inactive receptor kinase At2g26730 precursor, putative, expressed
PH01001865G0050	Os03t0333300-01	eukaryotic translation initiation factor 2 subunit beta, putative, expressed
PH01001865G0060	Os03t0334000-02	AGC_AGC_other_RS6K_like.2 - ACG kinases include homologs to PKA, PKG and PKC, expressed
PH01001865G0090	Os07t0680600-01	expressed_protein
PH01001865G0190	Os07t0680300-01	ubiquinol-cytochrome c reductase complex 6.7 kDa protein, putative, expressed
PH01001865G0200	Os07t0680000-01	vacuolar-sorting receptor precursor, putative, expressed
PH01001865G0320	Os03t0336200-02	bZIP transcription factor domain containing protein, expressed
PH01001866G0150	Os08t0550500-01	glutathione S-transferase, C-terminal domain containing protein, expressed
PH01001866G0310	Os08t0550700-00	OsSAUR36 - Auxin-responsive SAUR gene family member, expressed
PH01001866G0440	Os08t0551200-00	DUF630/DUF632 domains containing protein, putative, expressed
PH01001866G0450	Os08t0551200-00	DUF630/DUF632 domains containing protein, putative, expressed
PH01001866G0480	Os02t0178200-00	DUF630/DUF632 domains containing protein, putative, expressed
PH01001868G0090	Os09t0421300-01	phospholipase D, putative, expressed
PH01001868G0110	Os02t0775400-01	kinesin motor protein-related, putative, expressed
PH01001868G0130	Os09t0421166-00	kinesin motor protein-related, putative, expressed
PH01001868G0360	Os09t0420700-01	cytochrome c oxidase copper chaperone, putative, expressed
PH01001868G0390	Os01t0213800-01	TCP family transcription factor, putative, expressed
PH01001869G0060	Os05t0177100-01	OsFBX164 - F-box domain containing protein, expressed
PH01001869G0350	Os11t0423800-01	mitochondrial carrier protein, putative, expressed
PH01001870G0020	Os04t0496300-01	expressed_protein
PH01001870G0070	Os04t0495900-01	expressed_protein
PH01001870G0100	Os04t0495800-01	NIN, putative, expressed
PH01001870G0190	Os09t0516200-02	transcription factor RF2a, putative
PH01001870G0200	Os04t0495400-01	expressed_protein
PH01001870G0250	Os04t0495300-01	expressed_protein
PH01001870G0370	Os04t0493300-02	glycine-rich protein, putative, expressed
PH01001870G0430	Os02t0606200-01	B-box zinc finger family protein, putative, expressed
PH01001871G0060	Os02t0610600-01	OsCML22 - Calmodulin-related calcium sensor protein, expressed
PH01001871G0070	Os12t0237900-01	NBS-LRR disease resistance protein, putative
PH01001871G0100	Os12t0194600-02	bZIP transcription factor domain containing protein, expressed
PH01001871G0210	Os12t0194900-01	amino acid transporter, putative, expressed
PH01001872G0010	Os02t0668100-04	polyprenyl synthetase, putative, expressed
PH01001872G0090	Os06t0588900-01	RMD5 homolog A, putative, expressed
PH01001872G0180	Os02t0667600-02	expressed_protein
PH01001872G0190	Os02t0667500-01	tetracycline transporter protein, putative, expressed
PH01001872G0240	Os02t0667100-00	expressed_protein
PH01001872G0320	Os02t0666600-01	harpin-induced protein 1 domain containing protein, expressed
PH01001872G0340	Os02t0666500-01	cytochrome P450, putative, expressed
PH01001872G0420	Os02t0666300-01	STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01001872G0450	Os02t0666300-01	STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01001872G0470	Os02t0666300-01	STE_MEKK_ste11_MAP3K.10 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed
PH01001873G0020	Os12t0581700-01	seed maturation protein PM23, putative, expressed
PH01001873G0030	Os12t0581800-01	cyclin, putative, expressed
PH01001873G0040	Os12t0581900-01	ZOS12-08 - C2H2 zinc finger protein, expressed
PH01001873G0240	Os12t0582800-01	DUF221 domain containing protein, expressed
PH01001873G0270	Os12t0583000-01	glycosyl transferase, group 1 domain containing protein, expressed
PH01001874G0080	Os02t0610600-01	splicing factor, arginine/serine-rich 7, putative, expressed
PH01001874G0120	Os02t0610800-01	psaB translation factor, putative, expressed
PH01001874G0200	Os02t0611200-02	S-adenosyl-l-methionine decarboxylase leader peptide, putative, expressed
PH01001874G0240	Os09t0307800-01	SET domain containing protein
PH01001874G0300	Os02t0611400-01	PPR repeat domain containing protein, putative, expressed
PH01001874G0320	Os02t0611500-01	eukaryotic initiation factor iso-4F subunit p82-34, putative, expressed
PH01001874G0340	Os02t0611500-01	eukaryotic initiation factor iso-4F subunit p82-34, putative, expressed
PH01001875G0180	Os10t0103800-01	Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed
PH01001875G0190	Os03t0230500-01	DNA-directed RNA polymerase subunit beta, putative
PH01001876G0100	Os07t0200000-01	expressed_protein
PH01001876G0140	Os03t0803900-01	galactosyltransferase family protein, putative, expressed
PH01001876G0170	Os03t0803800-01	expressed_protein
PH01001876G0230	Os03t0803500-01	oxidoreductase, putative, expressed
PH01001876G0270	Os03t0803200-01	expressed_protein
PH01001876G0330	Os03t0803000-01	vesicle-associated membrane protein, putative, expressed
PH01001876G0340	Os03t0802900-01	BEE 1, putative, expressed
PH01001876G0350	Os07t0193600-01	aminoacyl-tRNA synthetase, putative, expressed
PH01001876G0360	Os03t0802700-01	DEAD-box ATP-dependent RNA helicase, putative, expressed
PH01001876G0380	Os03t0802600-01	ATPase, putative, expressed
PH01001877G0230	Os11t0696200-01	ATP-grasp domain containing protein, expressed
PH01001877G0390	Os11t0691280-00	wall-associated receptor kinase 3 precursor, putative
PH01001878G0010	Os05t0422300-01	zinc finger, C3HC4 type family protein, expressed
PH01001878G0040	Os01t0883200-01	wound-responsive family protein, putative, expressed
PH01001878G0200	Os05t0423400-01	OsMADS4 - MADS-box family gene with MIKCc type-box, expressed
PH01001879G0110	Os03t0845000-01	pirin, putative, expressed
PH01001879G0150	Os08t0323000-01	signal recognition particle 68 kDa protein, putative, expressed
PH01001879G0250	Os05t0334400-03	chaperone protein dnaJ, putative, expressed
PH01001879G0280	Os02t0321900-02	L1P family of ribosomal proteins domain containing protein, expressed
PH01001879G0310	Os08t0474700-01	protein transport protein, putative, expressed
PH01001880G0230	Os01t0653800-01	peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed
PH01001880G0240	Os01t0967700-01	hypothetical_protein
PH01001880G0250	Os01t0653800-02	peptidase S8 and S53, subtilisin, kexin, sedolisin, putative, expressed
PH01001880G0260	Os01t0653200-01	glycosyl transferase, group 1 domain containing protein, expressed
PH01001880G0400	Os01t0652600-01	ketol-acid reductoisomerase, chloroplast precursor, putative, expressed
PH01001880G0460	Os01t0652100-01	proteins of unknown function domain containing protein, expressed
PH01001880G0470	Os01t0651932-00	chloroplast unusual positioning protein, putative, expressed
PH01001881G0030	Os02t0204700-00	cytochrome P450 72A1, putative, expressed
PH01001881G0070	Os01t0175100-01	expressed_protein
PH01001881G0080	Os02t0493300-01	ankyrin, putative, expressed
PH01001881G0090	Os01t0189100-01	ankyrin repeat domain containing protein, putative, expressed
PH01001881G0190	Os10t0178500-01	cytokinin-O-glucosyltransferase 3, putative, expressed
PH01001881G0200	Os01t0176200-02	flavonol-3-O-glycoside-7-O-glucosyltransferase 1, putative, expressed
